weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
337,FALSE,502.26,33.83,7.8,228.61,1082.91,41.84
38,FALSE,130.14,8.31,3.49,34.08,364.95,10.2
27,FALSE,49.93,0.63,9.36,0.86,68.28,1.8
25,FALSE,28.88,1.71,1.94,1.9,76.13,1.64
18,FALSE,24.93,2.5,0.82,0.38,278.43,0.34
314,FALSE,334.53,12.1,11.86,166.46,572.31,42.99
70,FALSE,65.27,4.96,3.94,2.27,150.45,1.41
387,FALSE,368.09,19.84,27.84,37.1,484.39,22.41
644,TRUE,623.99,50.51,36.14,9.59,558.22,12.79
253,TRUE,652.29,65.74,11.38,8.69,298.15,11.46
203,FALSE,395.3,23.43,31.4,222.14,531.78,14.65
733,TRUE,707.81,30.63,3.43,265.3,1705.42,101.22
276,FALSE,125.24,7.43,13.97,0.0,224.51,2.91
633,FALSE,451.26,16.61,40.08,23.97,1297.26,15.2
301,FALSE,256.66,13.06,22.73,1.32,256.05,13.15
353,FALSE,716.2,34.71,52.91,294.39,1247.66,41.69
293,TRUE,577.73,27.85,70.19,0.8,302.06,12.98
144,FALSE,73.35,3.83,5.96,8.47,158.69,4.88
31,FALSE,159.29,17.63,0.42,1.2,256.82,0.54
40,FALSE,70.34,4.88,5.17,1.44,132.96,1.85
480,FALSE,430.27,23.5,42.11,100.93,1690.66,13.06
54,FALSE,136.17,14.6,2.11,0.8,566.59,0.72
188,FALSE,521.93,43.17,24.64,59.71,1530.44,10.71
107,FALSE,524.06,56.94,1.2,7.2,309.64,3.07
390,FALSE,491.29,35.62,40.49,0.0,281.17,6.89
710,FALSE,566.45,43.86,24.11,72.51,1202.96,22.91
474,FALSE,1180.09,89.04,41.73,198.6,1652.33,53.26
131,FALSE,196.57,6.84,26.31,8.23,405.49,8.61
183,FALSE,180.13,6.23,5.01,74.56,390.34,24.82
260,FALSE,410.32,23.17,2.57,132.19,629.59,45.63
215,FALSE,183.89,5.71,28.52,6.02,714.6,5.61
187,FALSE,95.28,5.63,10.39,0.3,157.49,2.25
339,FALSE,347.91,4.48,48.0,74.13,570.25,28.33
120,TRUE,111.41,2.53,17.94,2.48,70.34,4.01
960,TRUE,462.86,17.3,47.77,55.12,1083.21,37.85
358,FALSE,576.12,44.96,37.04,19.78,513.88,8.76
139,FALSE,254.19,16.84,3.44,276.19,523.62,21.7
306,TRUE,666.76,62.6,11.3,35.0,476.16,18.34
123,FALSE,155.71,2.94,25.37,6.02,770.41,6.5
225,FALSE,344.76,18.4,1.36,128.98,336.36,41.73
158,FALSE,258.28,21.84,5.96,21.55,431.71,9.98
377,FALSE,529.92,20.35,59.68,38.19,779.96,24.26
767,FALSE,670.87,29.77,16.93,185.92,308.35,51.15
298,TRUE,602.66,36.38,10.59,85.72,791.36,55.06
378,FALSE,639.37,39.47,17.97,182.77,451.47,45.0
457,FALSE,341.18,21.29,20.3,22.8,1857.1,18.78
388,FALSE,522.4,27.83,4.17,357.6,4166.88,59.7
232,FALSE,271.04,16.13,26.14,3.6,1243.87,6.91
658,TRUE,441.98,7.1,34.29,104.42,1232.8,63.24
249,FALSE,283.57,8.01,1.65,145.38,462.46,48.45
127,FALSE,95.63,7.65,5.75,7.83,461.02,3.34
559,TRUE,279.89,14.08,34.01,24.45,474.34,11.08
422,FALSE,1205.78,48.79,147.82,87.93,1529.04,45.25
263,FALSE,376.15,16.26,50.06,17.01,492.03,8.67
469,TRUE,1117.33,42.83,145.93,28.17,1145.01,37.44
777,TRUE,471.93,35.2,32.56,93.85,609.27,12.52
1046,TRUE,989.51,45.52,89.91,280.05,528.35,58.61
173,FALSE,462.71,25.03,39.68,25.2,1080.03,20.56
1140,TRUE,789.73,19.85,133.86,64.09,349.74,27.86
496,TRUE,316.17,16.54,35.95,14.4,253.22,14.2
236,FALSE,283.15,25.83,12.26,1.2,333.66,2.43
70,FALSE,119.88,12.03,2.15,4.13,466.1,1.99
44,FALSE,171.16,18.58,0.98,1.2,305.81,0.69
411,FALSE,695.05,42.52,40.68,308.96,1876.45,36.53
192,FALSE,492.84,43.41,2.2,81.8,1875.0,22.94
413,FALSE,633.5,48.08,26.97,219.24,1448.52,19.92
1084,TRUE,2165.72,70.15,264.6,784.85,3360.1,83.14
201,FALSE,533.75,15.71,76.74,31.37,1484.53,22.36
335,FALSE,753.6,64.71,10.41,135.71,512.83,31.44
392,FALSE,402.01,19.24,12.33,124.51,375.47,39.25
63,FALSE,119.85,9.76,0.44,222.78,116.55,7.19
213,FALSE,132.07,8.61,12.41,2.4,604.45,3.32
311,FALSE,805.34,63.47,42.65,49.36,646.72,17.4
917,FALSE,1482.13,95.23,40.46,292.86,1388.33,80.84
48,FALSE,76.94,7.39,2.19,2.4,448.46,1.3
373,FALSE,422.2,23.38,15.9,419.58,1188.05,31.4
266,FALSE,312.04,8.26,35.84,31.82,843.62,23.73
285,TRUE,599.73,18.37,91.35,2.4,399.6,17.33
132,FALSE,381.17,21.42,40.16,1.6,1013.45,8.96
73,FALSE,55.86,5.07,1.74,1.77,313.37,0.88
125,FALSE,259.02,12.42,24.15,118.33,239.05,11.37
527,FALSE,367.77,17.44,34.61,144.96,462.29,21.25
1230,TRUE,727.38,50.2,65.43,7.2,1699.31,16.05
1132,TRUE,801.64,20.36,112.96,9.6,1821.77,47.89
238,FALSE,509.53,46.1,11.99,35.34,1547.82,14.12
248,FALSE,748.38,47.97,49.23,82.59,1411.95,31.43
539,FALSE,1754.57,106.93,160.44,48.02,2985.0,35.18
439,FALSE,555.63,28.59,13.19,184.97,570.82,54.09
164,FALSE,332.9,29.16,11.85,57.51,664.88,7.28
303,FALSE,462.85,18.86,49.29,198.08,1450.91,22.54
64,FALSE,24.79,1.23,2.7,0.68,31.34,1.62
203,FALSE,350.35,30.39,18.82,10.88,243.19,5.93
19,FALSE,53.54,3.93,4.02,0.2,64.59,0.69
22,FALSE,74.95,5.17,4.6,13.65,162.07,2.55
250,FALSE,304.33,27.34,15.9,3.0,2120.24,5.14
317,FALSE,302.33,18.99,16.67,29.47,504.54,16.13
841,FALSE,1837.39,18.63,278.92,1.2,996.57,117.96
535,FALSE,844.84,42.14,100.94,0.0,3339.3,15.73
469,FALSE,809.04,62.78,45.73,59.48,677.38,20.06
309,FALSE,518.14,39.29,10.75,148.73,369.07,32.46
220,TRUE,267.78,16.49,3.44,56.68,1404.94,25.67
405,TRUE,678.99,38.34,8.92,158.18,1511.2,76.41
163,FALSE,182.16,17.01,7.15,2.4,531.75,2.48
159,TRUE,226.24,12.47,2.02,69.39,314.22,25.77
268,FALSE,354.09,17.01,23.44,34.79,503.29,15.94
221,FALSE,530.02,15.16,68.05,8.2,379.95,15.37
101,FALSE,222.32,19.7,2.05,205.22,363.31,9.55
351,FALSE,688.78,50.22,27.6,75.58,1616.51,31.57
374,TRUE,318.19,13.69,7.98,104.36,423.36,39.37
363,FALSE,561.81,40.32,26.04,110.15,570.17,5.21
205,FALSE,127.41,1.85,23.5,4.8,549.77,6.58
482,TRUE,365.81,9.6,26.96,128.58,850.2,44.65
824,TRUE,1703.94,35.65,279.05,22.8,3185.04,68.29
110,FALSE,290.67,14.36,36.41,34.64,200.42,4.13
186,FALSE,138.13,5.46,11.49,173.28,143.36,10.86
189,FALSE,155.23,9.81,15.85,0.27,370.9,3.33
153,FALSE,431.54,35.2,17.33,26.93,792.38,13.42
378,FALSE,509.38,12.67,37.55,583.58,2493.22,57.5
220,FALSE,389.12,29.36,16.42,259.49,454.7,15.69
79,FALSE,491.13,54.23,2.74,0.18,63.06,0.64
347,FALSE,488.58,33.64,18.46,131.59,686.71,27.66
215,FALSE,310.99,27.32,6.33,27.38,462.36,11.56
620,TRUE,1561.26,36.41,253.75,101.09,3216.87,50.42
520,TRUE,492.31,21.38,50.05,46.61,1151.59,26.93
325,TRUE,559.78,35.3,2.58,186.28,1096.24,54.97
388,TRUE,545.23,26.5,56.39,22.8,1063.5,21.73
480,TRUE,518.63,24.98,58.18,9.6,943.46,21.08
167,TRUE,429.9,37.1,12.77,21.95,554.76,16.83
157,FALSE,406.84,16.13,53.57,42.46,600.06,11.72
1486,TRUE,2348.5,99.55,222.83,366.71,3971.25,135.85
629,TRUE,337.58,13.33,37.42,198.49,472.36,20.52
451,FALSE,377.72,12.33,10.07,97.94,361.9,33.27
145,FALSE,88.66,3.07,13.27,0.9,299.46,2.29
156,FALSE,446.01,27.3,34.43,156.56,794.29,15.17
368,FALSE,486.4,5.15,110.65,0.06,451.2,2.8
289,FALSE,528.6,16.4,74.88,1.8,413.34,21.31
367,FALSE,604.46,26.66,72.29,18.31,497.97,19.65
199,FALSE,549.76,37.8,43.13,6.02,588.78,9.87
250,FALSE,474.66,38.7,23.22,72.9,438.52,11.58
262,FALSE,480.11,30.52,44.38,32.98,846.12,7.48
386,FALSE,1613.39,163.11,14.3,152.81,2734.91,28.17
565,TRUE,1317.83,39.16,171.32,804.9,2314.97,68.98
316,TRUE,384.77,11.7,60.14,4.8,731.93,13.58
355,FALSE,622.56,39.6,31.88,106.69,266.58,34.34
266,FALSE,312.02,8.26,35.84,31.82,843.59,23.73
299,FALSE,335.31,23.28,12.3,44.48,1376.62,16.58
102,TRUE,190.23,16.59,5.72,8.78,322.47,6.43
686,FALSE,1192.58,75.23,13.09,306.96,1201.57,90.11
664,TRUE,706.16,54.05,29.47,216.31,785.03,28.37
130,FALSE,125.23,9.11,8.87,11.32,371.56,2.08
41,FALSE,49.59,4.45,1.2,28.34,74.58,1.4
100,FALSE,157.59,14.46,5.7,2.4,269.75,1.83
55,FALSE,284.53,26.08,1.09,26.55,678.1,11.61
297,FALSE,482.4,34.15,35.51,81.07,394.2,10.83
36,FALSE,194.81,20.71,2.53,1.26,1290.36,0.96
29,FALSE,70.62,7.53,1.16,0.04,351.56,0.36
437,FALSE,358.32,24.63,30.15,62.6,1652.91,10.62
362,TRUE,364.15,19.45,8.52,88.33,134.51,38.11
207,FALSE,284.54,22.91,18.81,2.4,310.22,7.09
103,FALSE,123.16,3.86,17.54,6.64,331.31,4.34
175,FALSE,141.19,11.15,7.85,26.01,97.89,4.05
858,TRUE,680.06,33.77,41.17,143.01,642.6,56.03
234,FALSE,715.05,63.08,2.73,138.37,417.2,32.14
558,TRUE,673.45,32.2,46.78,122.92,1228.2,51.32
675,TRUE,566.62,43.89,38.63,4.8,617.84,7.95
228,TRUE,534.18,31.25,1.86,33.0,973.48,50.78
342,TRUE,360.1,17.05,43.92,2.4,411.1,8.91
171,FALSE,110.18,6.58,11.11,8.0,386.22,3.8
36,FALSE,32.13,0.72,4.75,2.4,71.97,1.71
197,FALSE,223.5,16.43,12.62,10.1,352.04,7.98
163,FALSE,287.65,23.7,7.19,68.87,1381.31,12.15
211,FALSE,208.07,8.67,3.49,113.4,946.43,25.77
1636,TRUE,1344.7,61.15,145.32,120.73,4158.65,69.91
175,FALSE,141.19,11.15,7.85,26.01,97.89,4.05
729,TRUE,455.63,5.7,88.94,0.0,10246.17,27.62
140,FALSE,286.66,12.1,31.57,14.45,592.28,12.88
119,FALSE,152.6,13.1,8.7,0.0,322.62,1.94
292,FALSE,425.55,23.53,54.1,0.0,233.81,5.68
57,FALSE,148.3,15.16,2.69,1.92,567.16,1.26
30,FALSE,236.38,26.19,0.88,0.0,1.17,0.68
392,FALSE,535.9,30.14,2.84,158.15,671.48,61.48
488,FALSE,869.75,46.13,79.03,117.67,939.85,37.74
174,FALSE,659.5,70.86,6.09,100.05,51.25,3.0
320,FALSE,319.23,21.61,12.18,37.53,685.42,18.4
172,FALSE,291.51,21.23,3.45,121.98,568.75,21.49
110,FALSE,156.44,11.54,10.02,6.65,572.65,5.26
400,TRUE,1410.74,47.03,192.89,34.0,1020.92,51.82
99,FALSE,329.59,30.39,7.03,28.66,665.98,7.18
1297,TRUE,783.11,23.46,67.35,163.77,1264.69,77.13
157,FALSE,248.7,19.15,5.05,26.5,809.37,15.11
626,FALSE,1070.36,92.32,19.95,172.1,901.27,47.78
393,FALSE,518.69,29.56,17.71,112.26,1847.03,40.27
144,FALSE,184.13,16.73,8.29,1.6,786.54,2.1
161,FALSE,253.07,18.44,3.63,62.6,361.05,12.25
491,FALSE,1184.03,102.68,14.98,239.38,1167.94,49.7
360,TRUE,624.28,18.65,96.65,3.6,650.76,18.74
509,FALSE,720.03,44.66,56.76,42.53,795.17,18.12
2463,FALSE,546.07,34.16,28.63,246.68,1884.65,32.15
85,FALSE,534.74,53.92,8.94,0.0,480.93,8.62
942,TRUE,877.95,57.34,51.27,136.23,1085.39,41.65
111,FALSE,597.02,62.57,4.3,32.39,595.99,5.1
222,FALSE,282.46,10.71,1.99,120.0,209.32,41.08
1915,TRUE,2372.72,87.13,16.75,967.32,1986.36,350.58
210,FALSE,538.03,48.06,13.92,133.59,586.61,15.12
370,TRUE,821.73,30.35,114.39,7.2,789.57,24.37
1467,TRUE,902.38,45.63,88.57,231.7,1745.73,46.2
52,FALSE,33.09,1.09,4.32,2.27,213.54,1.92
100,FALSE,143.98,9.9,12.16,1.25,207.86,2.26
54,FALSE,123.04,12.48,1.66,46.63,815.72,2.15
279,FALSE,352.83,32.19,10.57,9.92,350.87,7.96
108,FALSE,423.67,31.74,28.7,112.02,293.04,6.93
150,TRUE,435.13,15.85,60.52,4.8,33.79,12.81
662,TRUE,1386.61,64.4,42.99,431.1,12399.93,152.37
138,FALSE,193.98,16.97,9.02,9.43,41.97,4.12
673,FALSE,962.49,39.62,102.28,90.79,2185.16,40.37
193,FALSE,214.72,18.51,9.52,31.6,461.92,5.06
363,TRUE,845.93,58.68,42.09,396.51,843.85,39.52
44,FALSE,52.92,4.58,2.66,10.75,265.92,0.12
241,FALSE,734.47,61.91,28.24,259.72,653.83,16.85
42,FALSE,167.83,18.18,1.69,1.2,210.87,0.55
901,TRUE,460.27,35.17,36.19,0.0,1511.83,8.7
777,TRUE,747.71,43.93,36.36,130.7,1258.74,54.22
251,FALSE,330.79,19.98,30.39,45.65,531.45,9.71
363,FALSE,389.73,19.53,16.83,93.32,1193.65,38.49
239,FALSE,343.03,29.89,8.02,56.83,478.48,11.4
267,FALSE,723.69,75.88,9.34,129.12,1246.41,5.38
374,FALSE,509.21,29.57,8.91,130.34,443.98,43.83
16,FALSE,37.64,2.84,0.63,11.49,147.64,2.42
518,FALSE,324.21,25.21,20.87,7.07,181.19,10.95
287,FALSE,215.88,7.69,12.11,1.93,635.07,3.19
438,TRUE,522.48,23.68,16.07,183.87,1891.33,57.45
286,FALSE,140.24,7.63,17.42,1.2,67.49,3.02
588,FALSE,659.6,45.9,26.18,218.89,1289.14,37.64
195,FALSE,319.65,24.89,12.83,22.8,1202.23,13.74
508,TRUE,586.1,25.03,36.7,158.53,1631.11,53.78
127,FALSE,50.38,2.66,5.61,0.85,55.48,1.7
307,TRUE,601.58,19.49,80.29,21.6,850.4,26.11
344,FALSE,236.52,10.95,16.3,81.65,445.58,18.95
647,TRUE,1487.0,19.96,272.19,22.07,2627.4,56.85
35,FALSE,78.97,6.9,0.3,107.81,272.45,3.63
287,FALSE,177.82,14.69,10.82,32.55,313.02,3.63
635,TRUE,528.57,36.34,35.7,2.61,807.5,6.98
798,TRUE,1610.15,35.7,262.07,36.0,689.41,61.93
190,FALSE,133.85,10.25,9.22,2.4,827.23,4.18
364,TRUE,566.36,17.92,85.87,2.4,312.4,16.86
80,FALSE,313.93,27.64,11.87,0.0,535.51,10.01
1360,TRUE,1712.85,34.14,288.87,14.4,2899.9,63.99
189,TRUE,441.14,21.92,47.23,31.02,885.02,14.82
523,TRUE,295.7,15.89,31.65,4.8,1192.04,6.88
254,TRUE,445.68,31.13,0.86,165.7,96.41,38.61
432,FALSE,682.96,49.68,42.51,68.98,1945.17,20.13
623,FALSE,1017.27,61.3,20.81,284.67,929.59,83.16
6932,TRUE,8886.66,274.29,11.31,4384.69,3790.89,1496.76
324,FALSE,578.75,20.21,77.91,43.26,940.06,21.85
270,FALSE,578.61,9.99,98.66,107.86,1417.82,21.76
159,TRUE,661.41,29.32,88.94,1.2,18.35,20.36
477,FALSE,718.38,34.17,55.53,106.41,960.54,45.43
232,FALSE,655.33,24.04,83.31,24.36,750.31,26.12
169,FALSE,451.3,15.7,60.64,12.45,235.85,16.35
558,FALSE,443.7,16.62,33.09,63.7,884.28,30.29
77,FALSE,108.43,10.9,3.27,0.6,555.43,0.6
183,FALSE,179.34,8.4,16.57,60.66,245.4,8.15
233,FALSE,163.79,14.0,8.62,1.8,90.52,2.62
222,FALSE,678.2,69.6,11.75,8.5,829.44,5.55
296,TRUE,481.87,31.24,2.6,125.34,531.46,45.59
31,FALSE,76.85,6.85,0.31,95.6,260.35,3.2
1076,TRUE,566.14,20.71,60.14,251.35,2929.29,26.33
497,FALSE,725.4,16.6,121.39,2.4,1355.26,22.82
286,FALSE,450.7,27.84,3.9,134.18,390.14,46.6
1103,TRUE,620.68,16.59,107.19,7.2,1004.24,19.71
522,TRUE,735.72,37.54,65.23,396.33,1305.36,38.17
417,FALSE,322.16,18.39,26.67,14.65,641.91,13.61
125,FALSE,505.41,42.33,9.85,66.6,879.57,20.79
140,FALSE,213.35,20.41,7.81,0.0,820.71,1.45
270,FALSE,286.63,18.45,26.08,4.27,1113.12,6.53
199,FALSE,192.51,14.08,15.5,1.8,354.4,3.33
320,FALSE,429.51,31.71,27.28,48.99,470.11,11.38
366,TRUE,625.79,46.49,9.62,67.0,209.1,43.19
161,FALSE,471.92,19.87,68.32,1.6,479.86,4.19
260,FALSE,307.01,20.23,11.91,39.26,980.31,19.05
259,FALSE,214.59,13.09,15.9,61.66,486.56,9.94
113,FALSE,130.76,5.28,4.07,42.61,581.88,16.28
983,FALSE,670.12,38.94,31.23,125.22,1513.37,52.02
273,TRUE,461.98,15.95,67.26,2.4,1055.86,14.31
285,FALSE,421.61,21.56,14.18,190.36,370.67,41.48
292,FALSE,466.35,36.4,15.43,61.47,134.15,23.95
175,FALSE,141.19,11.15,7.85,26.01,97.89,4.05
469,FALSE,578.48,22.81,56.53,22.8,727.73,15.14
397,FALSE,542.36,33.91,11.42,83.76,598.5,22.46
403,FALSE,314.84,19.61,8.61,112.15,197.74,25.06
60,FALSE,248.87,22.05,1.97,21.1,807.92,11.29
948,FALSE,816.34,25.77,127.69,0.0,1237.06,23.77
586,TRUE,961.83,36.64,95.46,254.9,1149.12,60.44
140,FALSE,120.12,3.96,17.64,9.76,600.66,4.21
179,FALSE,427.66,38.54,5.45,47.55,1292.77,18.54
341,TRUE,610.75,46.46,8.22,121.65,109.25,41.53
366,TRUE,306.33,16.13,12.69,44.32,362.21,27.19
1553,TRUE,681.93,18.96,127.53,1.0,467.86,28.04
18,FALSE,17.11,1.25,1.38,0.16,208.07,0.3
129,FALSE,92.46,4.61,4.85,166.08,263.54,7.11
94,FALSE,173.22,9.68,12.55,131.21,414.81,8.79
146,FALSE,235.5,15.87,2.48,61.36,731.45,20.29
57,FALSE,192.91,15.86,10.85,5.91,336.58,3.36
122,FALSE,77.95,3.13,10.36,34.44,346.08,3.04
473,FALSE,242.15,12.0,18.31,23.37,726.06,13.19
120,FALSE,642.83,64.67,2.88,124.05,516.2,14.35
383,TRUE,987.46,55.65,78.12,20.4,4864.85,43.86
278,TRUE,366.93,18.83,29.97,21.0,1252.4,21.73
473,TRUE,778.5,16.37,134.59,4.8,1126.56,26.43
221,TRUE,325.17,22.29,6.95,50.78,532.43,25.16
69,FALSE,222.22,23.61,3.0,0.8,226.57,1.04
732,FALSE,308.23,16.12,8.86,61.2,483.7,34.02
303,FALSE,440.65,24.55,10.22,111.45,620.41,44.88
420,FALSE,493.22,24.73,12.79,121.9,1104.63,52.64
567,TRUE,363.59,3.11,9.13,170.66,221.69,72.2
528,FALSE,389.99,25.52,8.46,71.77,732.35,32.18
570,FALSE,1077.88,66.9,34.08,323.36,477.08,91.48
1234,TRUE,1955.38,85.93,94.03,403.69,822.28,207.35
397,TRUE,688.45,16.68,105.17,187.34,1217.62,30.07
2603,TRUE,1720.31,14.65,53.34,774.0,1588.87,334.3
16,FALSE,18.12,0.5,2.19,4.69,33.26,0.58
352,TRUE,408.93,13.27,10.06,150.0,427.49,65.07
1044,TRUE,1334.11,74.5,49.41,624.36,5852.4,112.95
2351,TRUE,1999.17,66.92,250.27,209.14,3178.45,117.34
1815,TRUE,1472.79,32.64,14.92,680.91,3896.61,279.45
600,TRUE,715.01,52.8,25.36,235.26,1208.78,43.97
335,TRUE,444.43,31.44,7.37,136.08,459.21,33.92
55,FALSE,192.66,18.8,0.16,26.67,307.7,5.95
598,FALSE,672.9,26.74,1.11,453.44,1051.4,100.6
331,TRUE,228.88,6.42,9.01,136.08,133.89,32.53
1083,TRUE,1121.89,35.53,9.52,720.0,2400.37,161.26
844,FALSE,574.55,36.8,6.93,201.79,176407.16,53.13
84,FALSE,88.52,1.83,2.94,56.7,182.01,12.94
469,FALSE,872.81,63.58,37.67,415.32,413.48,41.26
286,FALSE,862.54,80.56,5.19,227.67,618.68,31.24
427,TRUE,482.54,29.08,25.09,136.08,314.67,32.73
230,FALSE,247.89,3.02,12.93,90.72,3670.16,21.43
296,FALSE,288.82,19.43,13.22,49.9,506.59,17.2
148,FALSE,158.47,5.42,0.18,117.64,146.97,25.57
136,FALSE,111.36,1.65,1.0,56.7,298.55,22.08
103,FALSE,130.48,1.5,3.6,48.38,79.35,11.12
526,TRUE,577.4,47.82,22.7,68.04,647.39,19.95
386,FALSE,342.42,5.33,10.66,181.44,2883.0,42.47
663,FALSE,492.9,26.79,28.59,138.63,975.36,35.81
404,FALSE,599.95,41.48,20.56,160.55,1314.27,36.47
184,FALSE,182.72,5.15,1.93,136.08,119.09,30.48
252,FALSE,312.15,14.49,2.73,136.08,351.94,30.27
1085,TRUE,1289.88,63.63,11.89,725.75,1063.26,162.41
353,FALSE,397.95,15.52,0.26,292.22,1398.58,60.42
411,FALSE,699.9,35.51,26.93,316.71,943.0,64.16
254,FALSE,523.93,38.14,23.69,99.89,1707.91,21.42
379,FALSE,308.9,8.36,10.1,158.76,394.63,36.68
62,FALSE,80.17,4.38,1.17,22.23,296.99,9.1
33,FALSE,31.97,1.26,1.48,12.96,206.58,3.13
188,FALSE,183.61,3.97,3.99,136.08,1177.63,30.94
494,FALSE,665.53,44.62,27.32,188.63,14562.14,41.21
193,FALSE,286.75,21.98,2.55,74.84,378.07,20.1
546,TRUE,600.61,29.37,17.92,272.16,640.1,65.04
517,TRUE,489.35,14.29,5.61,362.87,510.27,81.2
234,FALSE,349.43,22.79,4.68,118.29,399.73,31.04
336,FALSE,201.44,8.73,6.61,110.44,692.52,22.15
343,FALSE,276.79,12.84,7.92,146.11,320.39,31.91
298,FALSE,345.32,16.78,2.73,211.54,381.31,41.51
251,FALSE,546.58,45.12,3.56,196.82,525.82,31.42
299,FALSE,376.59,21.36,12.28,136.08,1537.05,33.26
153,FALSE,145.03,4.68,1.85,90.72,226.04,20.39
202,FALSE,205.91,7.58,3.06,136.08,263.51,30.54
241,FALSE,247.14,7.69,1.75,187.54,371.58,40.47
70,FALSE,58.37,1.23,4.54,27.2,404.46,7.17
268,FALSE,274.38,11.14,9.51,136.08,1199.89,32.73
713,TRUE,589.03,27.67,50.21,203.04,644.72,40.09
517,TRUE,489.35,14.29,5.61,362.87,510.27,81.2
283,TRUE,332.32,17.72,11.41,136.08,297.94,31.42
204,FALSE,200.01,3.99,2.59,136.08,370.52,30.89
161,FALSE,281.83,2.77,48.99,0.0,3020.89,7.47
205,FALSE,198.72,6.08,3.67,136.08,409.36,31.06
202,FALSE,150.49,10.87,7.67,32.71,222.4,6.73
351,FALSE,383.06,22.03,13.71,136.64,573.0,33.52
183,FALSE,265.52,17.0,2.4,113.4,765.97,25.67
711,TRUE,520.78,13.78,14.55,362.87,542.73,82.9
326,FALSE,250.25,9.62,7.58,136.08,674.46,31.92
131,FALSE,210.04,16.57,4.01,42.85,344.5,8.97
349,FALSE,252.58,7.64,12.29,136.08,736.72,34.16
1256,TRUE,495.68,11.0,8.12,362.87,255026.31,86.1
208,FALSE,257.81,13.21,2.73,151.13,512.32,30.42
274,FALSE,422.14,25.15,3.47,183.18,1109.04,44.85
270,TRUE,201.3,5.96,8.37,113.4,417.09,28.64
204,FALSE,285.08,16.16,2.44,136.68,422.96,30.91
1072,TRUE,683.06,23.09,18.8,167.83,132367.09,97.73
382,FALSE,457.8,32.48,26.97,58.71,489.94,17.68
429,FALSE,692.06,54.07,7.44,161.19,242.26,48.97
426,TRUE,400.66,15.0,31.77,136.08,580.95,35.3
275,FALSE,321.31,15.17,3.01,181.44,387.39,40.34
582,TRUE,509.41,12.78,6.74,227.05,454.08,93.03
377,FALSE,457.53,21.48,2.11,272.16,434.84,60.61
455,TRUE,334.89,15.28,23.33,136.08,644.0,33.27
185,FALSE,220.47,14.48,5.22,58.68,640.52,17.15
19,FALSE,21.28,0.44,2.37,8.21,35.56,1.94
530,TRUE,401.33,6.22,16.56,170.1,1041.5,72.58
431,FALSE,442.22,0.39,36.31,0.0,3075.2,8.79
338,TRUE,465.63,32.3,11.37,136.08,609.29,31.35
420,FALSE,405.42,21.27,20.5,143.6,432.63,31.93
1360,TRUE,1238.86,45.33,27.05,741.53,1089.56,167.21
768,FALSE,746.52,20.49,6.23,544.31,3490.71,126.9
772,TRUE,336.65,16.55,36.3,45.36,251.02,17.44
235,FALSE,307.94,21.26,3.46,113.4,735.23,25.85
1219,TRUE,1837.88,45.24,136.45,531.0,1255.85,205.48
568,FALSE,531.5,34.74,20.2,136.08,1460.77,36.8
287,FALSE,406.3,5.22,44.69,113.4,551.45,29.96
542,TRUE,847.64,45.42,10.05,303.75,564.99,95.13
356,TRUE,388.3,22.21,13.74,136.08,391.07,34.24
289,FALSE,334.18,18.34,7.43,136.08,1939.35,34.81
1151,TRUE,1237.64,51.98,63.41,530.17,986.84,114.71
663,FALSE,692.69,33.0,14.3,381.5,474.67,82.33
573,FALSE,1557.09,122.64,57.38,306.96,422.21,43.21
379,FALSE,457.58,21.5,2.31,272.16,429.37,60.55
18,FALSE,21.88,1.21,0.51,9.07,43.26,2.24
65,FALSE,120.22,6.71,1.97,30.72,250.74,11.76
439,FALSE,453.31,25.5,20.76,161.11,770.15,36.2
195,FALSE,209.74,3.99,10.69,136.08,559.53,30.28
88,FALSE,72.27,2.66,1.76,36.6,151.52,8.52
1850,TRUE,2996.99,115.47,293.75,627.11,4407.07,185.16
413,TRUE,261.52,8.57,13.15,136.08,629.46,32.4
210,FALSE,338.07,3.95,50.6,77.71,1128.69,23.51
568,TRUE,589.61,24.32,7.94,362.87,538.38,81.56
117,FALSE,109.45,3.48,3.2,29.99,295.46,11.68
240,FALSE,392.25,22.75,17.36,113.4,1120.55,29.88
671,FALSE,618.07,41.24,27.39,229.19,904.98,38.15
326,FALSE,343.39,16.05,7.58,181.44,3655.29,41.46
369,FALSE,597.08,31.93,27.04,117.78,795.71,48.49
670,TRUE,1133.86,66.99,93.7,181.23,1227.67,48.54
116,FALSE,155.4,8.49,7.28,328.36,520.89,11.81
293,TRUE,393.74,22.98,5.19,181.44,160.96,41.03
541,FALSE,534.8,48.0,28.24,0.0,3054.47,4.84
143,TRUE,401.35,26.78,32.92,0.8,209.08,12.82
336,TRUE,256.2,7.78,14.0,136.08,445.0,32.04
583,TRUE,696.7,15.96,77.2,136.08,1794.61,60.22
348,TRUE,259.64,7.82,12.21,136.08,432.92,32.33
233,FALSE,317.87,14.88,32.98,11.69,549.56,5.73
385,FALSE,373.24,20.61,4.34,197.21,433.66,31.69
93,FALSE,163.3,10.23,2.62,53.72,265.94,15.5
378,TRUE,521.52,15.38,55.91,136.08,397.72,38.46
1019,FALSE,407.42,8.94,29.2,138.55,4257.98,49.7
