weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
924,TRUE,1045.33,39.41,133.55,209.65,2007.21,46.03
381,FALSE,709.25,49.49,22.29,163.89,1576.47,42.84
225,FALSE,342.52,28.52,18.03,3.75,252.17,6.21
1056,TRUE,810.28,61.37,55.94,5.67,693.98,17.99
302,FALSE,371.77,17.36,39.22,81.44,234.27,15.87
51,FALSE,240.99,20.88,9.24,13.39,582.79,6.23
131,FALSE,201.08,12.22,2.08,72.28,358.46,20.25
733,TRUE,626.69,45.22,47.41,4.8,526.01,16.47
130,FALSE,566.09,58.14,4.09,24.0,523.64,9.17
441,FALSE,396.12,29.1,17.06,41.52,1479.98,23.63
238,FALSE,567.89,27.74,64.37,10.37,452.71,16.81
192,TRUE,513.04,20.54,66.88,5.67,116.11,15.73
1353,TRUE,6996.15,463.07,600.33,45.8,5263.38,113.23
272,FALSE,448.48,20.19,10.63,131.44,193.65,44.8
475,TRUE,515.72,28.53,9.35,157.62,1032.29,55.05
97,FALSE,66.64,4.27,5.67,1.8,231.18,2.59
157,FALSE,74.9,1.37,13.68,1.54,298.53,3.62
338,FALSE,374.91,21.71,41.38,0.0,94.35,5.72
450,FALSE,754.54,31.16,94.38,80.26,912.25,27.06
296,FALSE,697.97,51.73,38.38,27.05,1155.45,21.73
454,FALSE,760.19,65.78,26.98,254.87,791.67,22.5
57,FALSE,61.8,4.69,3.48,12.03,310.88,1.9
1784,TRUE,4352.03,92.56,714.75,56.69,9485.28,162.02
266,FALSE,604.49,53.32,7.68,132.73,849.18,25.71
92,FALSE,378.18,14.99,50.93,0.0,304.24,9.44
223,FALSE,235.73,12.31,3.44,84.86,460.13,27.68
334,FALSE,485.85,35.38,21.49,201.01,844.98,22.44
14,FALSE,27.0,1.09,3.71,0.0,126.0,0.7
53,FALSE,107.84,10.84,2.75,0.14,609.4,1.26
1120,TRUE,1890.97,130.02,29.11,517.03,1521.22,136.47
293,FALSE,432.94,40.61,19.58,2.4,2657.52,5.65
105,FALSE,162.18,15.94,3.51,0.0,21.6,0.92
307,TRUE,459.39,22.25,1.32,186.49,959.53,60.22
332,TRUE,376.65,12.99,42.02,31.82,869.29,25.13
181,FALSE,527.02,48.36,21.02,56.61,385.98,4.79
273,FALSE,777.59,66.2,0.54,211.42,427.29,46.5
219,FALSE,311.12,21.05,25.24,15.32,376.49,6.86
129,FALSE,489.01,17.82,65.71,100.73,221.2,15.7
871,TRUE,796.29,22.09,112.94,61.78,492.52,38.78
56,FALSE,203.46,21.46,1.62,22.33,357.97,1.33
661,TRUE,560.9,14.73,97.91,1.62,244.09,12.92
256,FALSE,520.76,22.57,53.31,48.19,2596.11,27.97
295,TRUE,608.88,11.11,103.2,14.53,349.04,23.83
120,FALSE,238.64,6.98,31.45,27.66,108.66,12.58
289,TRUE,755.23,34.81,92.03,6.0,814.15,20.39
484,FALSE,423.83,33.58,22.06,53.4,1504.86,12.26
80,FALSE,347.72,15.05,43.33,7.55,10.44,10.97
778,TRUE,2579.77,231.99,11.33,492.28,4927.95,109.53
483,TRUE,423.67,33.1,24.69,104.3,278.72,10.85
180,TRUE,360.18,25.13,0.86,144.91,80.47,31.11
804,FALSE,772.28,44.02,12.42,228.82,731.03,78.83
325,TRUE,403.81,15.08,54.98,4.0,1201.75,13.25
110,FALSE,251.54,14.71,26.05,20.39,208.19,4.3
114,TRUE,48.32,2.13,5.77,0.58,39.69,2.13
153,FALSE,176.52,14.38,10.67,2.4,302.51,2.36
321,FALSE,549.92,25.52,57.09,35.49,1660.22,23.58
308,FALSE,156.29,8.36,18.03,1.2,381.03,4.95
183,TRUE,160.41,8.48,18.56,1.27,241.81,4.36
80,FALSE,95.32,6.55,5.56,4.82,206.97,5.6
150,FALSE,166.91,3.72,15.74,30.01,1697.47,18.11
260,FALSE,79.61,1.08,21.54,4.8,210.23,4.38
317,TRUE,530.69,26.11,43.2,57.7,425.73,30.98
73,FALSE,382.0,42.24,2.15,1.2,321.35,0.79
271,TRUE,503.18,14.67,75.51,8.07,548.28,19.32
